Latitude,Longitude
-29.174700,27.831100
-30.559500,22.937500
-30.692715,28.505744
-32.555707,26.765336
-32.774769,26.633756
-31.163040,28.870557
-33.304216,26.532760
-32.330833,28.149808
-29.174700,27.831100
-30.692715,28.505744
-20.191400,32.633400
-31.361987,29.573285
-30.965069,28.836926
-27.754306,26.643825
-30.343570,28.811606
-32.774769,26.633756
-32.787493,26.834396
-28.873682,27.881286
-31.543315,29.016396
-29.822400,27.238800
-31.080419,29.495220
-29.315100,27.486900
-31.543315,29.016396
-31.354780,25.663952
-29.447600,27.722700
-30.142600,27.467400
-27.986442,26.706612
-30.559500,22.937500
-32.787493,26.834396
-31.361987,29.573285
-28.863800,28.047900
-31.163040,28.870557
-32.880310,27.394544
-28.103910,26.865930
-30.142600,27.467400
-27.873939,26.690719
-29.315100,27.486900
-26.980232,26.672717
-31.163040,28.870557
-29.174700,27.831100
-32.001149,27.580451
-32.096185,28.304888
-28.863800,28.047900
-29.315100,27.486900
-29.515800,28.590200
-28.863800,28.047900
-32.774769,26.633756
-31.080419,29.495220
-32.330833,28.149808
-32.774769,26.633756
-33.304216,26.532760
-29.121065,26.214003
-24.823400,24.714300
-29.315100,27.486900
-29.447600,27.722700
-31.163040,28.870557
-32.507815,28.317894
-32.001149,27.580451
-28.296778,31.590236
-30.859074,29.853843
-28.296778,31.590236
-33.684209,26.670361
-32.096185,28.304888
-30.995291,29.518219
-29.174700,27.831100
-32.721727,25.588041
-29.822400,27.238800
-32.766667,27.483333
-31.361987,29.573285
-31.703118,27.232904
-31.163040,28.870557
-33.304216,26.532760
-31.361987,29.573285
-28.103910,26.865930
-29.287600,29.060500
-30.559500,22.937500
-28.765400,28.246800
-31.361987,29.573285
-28.863800,28.047900
-30.142600,27.467400
-29.822400,27.238800
-28.863800,28.047900
-29.822400,27.238800
-29.174700,27.831100
-32.330833,28.149808
-28.765400,28.246800
-32.298497,27.143616
-32.203331,27.942790
-29.315100,27.486900
-29.733300,28.383300
-30.111500,28.679000
-27.958711,26.829902
-29.315100,27.486900
-29.315100,27.486900
-29.174700,27.831100
-27.986442,26.706612
-32.036785,27.819944
-29.174700,27.831100
-28.863800,28.047900
-31.622911,29.544772
-29.174700,27.831100
-27.958711,26.829902
-32.096185,28.304888
-26.314011,26.822231
-31.848000,28.274389
-32.330833,28.149808
-31.354780,25.663952
-21.167200,26.419400
-28.103910,26.865930
-29.822400,27.238800
-32.933245,27.776556
-29.842100,28.049700
-29.174700,27.831100
-29.174700,27.831100
-32.787493,26.834396
-31.163040,28.870557
-29.315100,27.486900
-30.559500,22.937500
-31.703118,27.232904
-29.174700,27.831100
-29.822400,27.238800
-31.361987,29.573285
-29.350000,27.666700
-31.163040,28.870557
-28.863800,28.047900
-28.103910,26.865930
-31.466667,27.333333
-30.859074,29.853843
-23.836700,25.283800
-31.361987,29.573285
-24.988100,25.343000
-31.361987,29.573285
-32.298497,27.143616
-29.174700,27.831100
-29.174700,27.831100
-31.622911,29.544772
-31.361987,29.573285
-32.001149,27.580451
-32.298497,27.143616
-29.822400,27.238800
-31.653492,25.803656
-32.330833,28.149808
-28.103910,26.865930
-33.011051,27.910049
-29.315100,27.486900
-32.298497,27.143616
-32.298497,27.143616
-30.808207,29.366443
-29.515800,28.590200
-29.822400,27.238800
-28.863800,28.047900
-33.684209,26.670361
-29.315100,27.486900
-32.716667,26.716667
-32.001149,27.580451
-33.200592,27.113846
-29.315100,27.486900
-30.995291,29.518219
-31.071043,28.351833
-29.822400,27.238800
-29.315100,27.486900
-29.315100,27.486900
-26.903296,27.457268
-29.315100,27.486900
-32.774769,26.633756
-27.986442,26.706612
-28.103910,26.865930
-28.103910,26.865930
-29.610000,28.233600
-30.859074,29.853843
-27.986442,26.706612
-32.036785,27.819944
-29.125600,27.977600
-27.873939,26.690719
-32.834831,27.217424
-32.330833,28.149808
-32.933245,27.776556
-29.610000,28.233600
-28.863800,28.047900
-32.933245,27.776556
-32.298497,27.143616
-31.163040,28.870557
-31.354780,25.663952
-29.610000,28.233600
-33.304216,26.532760
-29.822400,27.238800
-28.863800,28.047900
-32.774769,26.633756
-28.103910,26.865930
-27.986442,26.706612
-32.774769,26.633756
-31.163040,28.870557
-29.515800,28.590200
-28.664489,27.430481
-28.913669,27.565555
-29.287600,29.060500
-28.863800,28.047900
-28.873682,27.881286
-32.001149,27.580451
-29.315100,27.486900
-32.933245,27.776556
-28.765400,28.246800
-30.343570,28.811606
-25.373544,30.528783
-30.559500,22.937500
-32.774769,26.633756
-29.822400,27.238800
-31.543315,29.016396
-23.836700,25.283800
-31.693853,28.097678
-29.350000,27.666700
-31.543315,29.016396
-30.859074,29.853843
-29.315100,27.486900
-28.103910,26.865930
-29.610000,28.233600
-32.774769,26.633756
-28.529602,28.800361
-32.001149,27.580451
-30.997659,26.328623
-32.883333,27.750000
-29.822400,27.238800
-30.997659,26.328623
-28.524230,28.815820
-30.859074,29.853843
-32.570760,27.423961
-32.008927,26.259346
-32.555707,26.765336
-18.665700,35.529600
-31.361987,29.573285
-31.354780,25.663952
-32.001149,27.580451
-28.765400,28.246800
-31.361987,29.573285
-29.174700,27.831100
-29.822400,27.238800
-32.001149,27.580451
-31.163040,28.870557
-31.361987,29.573285
-33.684209,26.670361
-32.721727,25.588041
-29.610000,28.233600
-31.080419,29.495220
-32.330833,28.149808
-31.163040,28.870557
-32.555707,26.765336
-29.493227,26.597143
-29.610000,28.233600
-29.610000,28.233600
-25.522972,31.356925
-32.818513,26.988124
-32.001149,27.580451
-27.986442,26.706612
-30.343570,28.811606
-30.343570,28.811606
-32.834831,27.217424
-29.287600,29.060500
-30.859074,29.853843
-24.936600,25.804900
-30.142600,27.467400
-32.330833,28.149808
-32.787493,26.834396
-30.450000,28.550000
-30.559500,22.937500
-32.774769,26.633756
-31.622911,29.544772
-31.163040,28.870557
-32.096185,28.304888
-31.354780,25.663952
-29.610000,28.233600
-29.610000,28.233600
-31.361987,29.573285
-30.142600,27.467400
-32.036785,27.819944
-29.822400,27.238800
-31.897563,26.875329
-30.958745,29.302209
-29.610000,28.233600
-32.774769,26.633756
-31.622911,29.544772
-30.692715,28.505744
-29.822400,27.238800
-31.163040,28.870557
-33.304216,26.532760
-29.822400,27.238800
-32.001149,27.580451
-27.986442,26.706612
-27.986442,26.706612
-29.822400,27.238800
-28.863800,28.047900
-31.622911,29.544772
-32.774769,26.633756
-24.870600,25.864000
-29.174700,27.831100
-29.822400,27.238800
-24.988100,25.343000
-30.142600,27.467400
-28.863800,28.047900
-31.897563,26.875329
-28.103910,26.865930
-30.142600,27.467400
-29.315100,27.486900
-32.001149,27.580451
-26.533333,29.066667
-27.873939,26.690719
-31.361987,29.573285
-27.958711,26.829902
-32.096185,28.304888
-31.163040,28.870557
-29.822400,27.238800
-32.933245,27.776556
-28.863800,28.047900
-28.765400,28.246800
-31.897563,26.875329
-31.703118,27.232904
-31.703118,27.232904
-29.315100,27.486900
-32.816667,27.150000
-31.543315,29.016396
-32.096185,28.304888
-31.622911,29.544772
-28.863800,28.047900
-29.315100,27.486900
-29.174700,27.831100
-33.590572,26.891037
-32.096185,28.304888
-32.880310,27.394544
-24.396600,25.497000
-30.859074,29.853843
-30.692715,28.505744
-30.559500,22.937500
-32.774769,26.633756
-28.863800,28.047900
-32.570760,27.423961
-32.933245,27.776556
-27.873939,26.690719
-30.111500,28.679000
-32.774769,26.633756
-32.036785,27.819944
-29.174700,27.831100
-29.315100,27.486900
-30.559500,22.937500
-32.096185,28.304888
-32.774769,26.633756
-32.834831,27.217424
-31.361987,29.573285
-30.859074,29.853843
-32.001149,27.580451
-33.590572,26.891037
-32.001149,27.580451
-30.692715,28.505744
-32.330833,28.149808
-32.787493,26.834396
-30.142600,27.467400
