,Location,Potential Claimants
0,South Africa District,9541
1,Lesotho District,6435
2,Maseru,1954
3,Leribe,1402
4,Berea,1347
5,Qumbu,1307
6,Mafeteng,1157
7,Mohale's Hoek,1128
8,Bizana,1079
9,Cofimvaba,992
10,Lusikisiki,880
11,Welkom,862
12,Idutywa,791
13,Port Saint John's,652
14,Butterworth,543
15,Mount Fletcher,527
16,Flagstaff,526
17,Matatiele,511
18,Fort Beaufort,506
19,Ntabankulu,478
20,Virginia,451
21,Thaba-Tseka,449
22,Mokhotlong,415
23,Qacha's Nek,414
24,Grahamstown,335
25,Alice,311
26,Butha-Buthe,298
27,Cathcart,269
28,Nhlangano,264
29,King William's Town,259
30,Odendaalrus,246
31,Chipinge,237
32,Libode,234
33,Tsomo,233
34,Swaziland District,228
35,Southern District,216
36,Queenstown,210
37,Middledrift,210
38,Peddie,203
39,Mdantsane,200
40,Dimbaza,196
41,Odendaalsrus,192
42,Cala,179
43,Bathurst,175
44,Kweneng District,173
45,Hlatikhulu,169
46,Clocolan,157
47,Thamaga,153
48,Allanridge,153
49,Port Alfred,149
