,latitude,longitude
0,-34.23,19.4265
1,-25.3302,31.1276
2,-26.2023,28.0436
3,-30.0272,29.8396
4,-23.1351,30.4218
5,-26.1167,28.1
6,-25.6347,27.7802
7,-25.6347,27.7802
8,-33.7338,18.9752
9,-28.8,32.1
10,-25.6347,27.7802
11,-33.9981,18.6729
12,-26.1167,28.1
13,-26.2167,28.25
14,-33.918,25.5701
15,-33.804,25.58
16,-33.9253,18.4239
17,-34.0363,23.0471
18,-29.8333,30.9333
19,-25.7449,28.1878
20,-29.6167,30.3833
21,-29.1469,31.414
22,-34.0363,23.0471
23,-29.2108,30.0073
24,-31.5889,28.7844
25,-25.7449,28.1878
26,-25.9166,28.1045
27,-26.9033,27.4573
28,-33.95,25.6
29,-26.7117,27.8379
30,-26.2023,28.0436
31,-34.1167,18.9167
32,-29.8579,31.0292
33,-25.9895,28.1284
34,-29.1945,27.4574
35,-34.0167,18.55
36,-29.8207,30.8867
37,-29.8579,31.0292
38,-29.781,31.0132
39,-29.1469,31.414
40,-23.9021,30.691
41,-30.2667,29.9333
42,-25.7464,28.2214
43,-28.1167,24.85
44,-25.9333,28.0167
45,-29.6167,30.3833
46,-29.7415,30.9265
47,-29.8579,31.0292
48,-26.2167,28.25
49,-29.8579,31.0292
50,-26.4314,28.4771
51,-34.0167,18.4833
52,-28.1167,24.85
53,-29.8579,31.0292
54,-29.8579,31.0292
55,-26.2023,28.0436
56,-30.8591,29.8538
57,-32.7875,26.8344
58,-33.9253,18.4239
59,-34.0289,18.4955
60,-25.8713,29.2332
61,-25.713,28.3653
62,-33.9253,18.4239
63,-26.1167,28.1
64,-26.7117,27.8379
65,-25.8083,28.7406
66,-26.6667,27.9333
67,-33.4998,26.8294
68,-28.5587,29.779
69,-29.6167,30.3833
70,-26.0748,27.7531
71,-26.0748,27.7531
72,-23.9045,29.4689
73,-23.0439,29.9032
74,-23.8332,30.1635
75,-33.804,25.58
76,-25.7449,28.1878
77,-26.3167,27.8333
78,-33.3042,26.5328
79,-33.9253,18.4239
80,-29.8579,31.0292
81,-26.95,24.7333
82,-33.9667,22.45
83,-33.9785,18.4481
84,-32.1667,26.8167
85,-31.5889,28.7844
86,-25.6169,27.9947
87,-33.804,25.58
88,-25.7449,28.1878
89,-29.8579,31.0292
90,-26.1833,27.8
91,-29.8579,31.0292
92,-27.7688,30.8003
93,-33.918,25.5701
94,-23.9045,29.4689
95,-26.2023,28.0436
96,-29.6167,30.3833
97,-29.6167,30.3833
98,-26.2958,28.4001
99,-29.8579,31.0292
100,-25.7449,28.1878
101,-25.78,29.47
102,-29.6915,31.0665
103,-25.7449,28.1878
104,-26.2023,28.0436
105,-33.9258,25.5543
106,-29.8579,31.0292
107,-26.1167,28.1
108,-29.85,30.9833
109,-26.2023,28.0436
110,-29.5807,30.3867
111,-23.9045,29.4689
112,-33.9253,18.4239
113,-29.2108,30.0073
114,-25.7449,28.1878
115,-26.3359,27.8634
116,-34.0289,18.4955
117,-29.8579,31.0292
118,-29.8579,31.0292
119,-29.8579,31.0292
120,-33.0276,17.9196
121,-25.713,28.3653
122,-33.4406,25.9741
123,-33.918,25.5701
124,-29.7791,30.9933
125,-25.9936,27.5562
126,-30.7108,27.2161
127,-25.7449,28.1878
128,-33.0975,18.0315
129,-26.2234,27.8672
130,-26.0858,27.7752
131,-26.1982,28.0219
132,-24.1944,29.0097
133,-33.9346,18.8668
134,-33.9253,18.4239
135,-29.8579,31.0292
136,-25.7728,28.0678
137,-25.7449,28.1878
138,-34.0211,22.8055
139,-34.15,19.0167
140,-25.4667,30.9667
141,-30.2667,29.9333
142,-28.5587,29.779
143,-34.0363,23.0471
144,-29.3779,31.2549
145,-29.1333,26.2
146,-25.3167,31.0167
147,-26.2436,27.9505
148,-23.9045,29.4689
149,-29.1333,26.2
150,-33.804,25.58
151,-29.8579,31.0292
152,-34.0888,23.2973
153,-34.15,19.0167
154,-25.5072,28.1075
155,-34.1831,22.1461
156,-30.2667,29.9333
157,-29.3779,31.2549
158,-25.7449,28.1878
159,-33.9253,18.4239
160,-26.0471,28.0812
161,-25.8556,25.6367
162,-33.9667,22.45
163,-31.5889,28.7844
164,-30.1455,30.8335
165,-27.7688,30.8003
166,-29.8579,31.0292
167,-32.3333,28.15
168,-33.0153,27.9116
169,-33.918,25.5701
170,-29.8348,31.0001
171,-32.8803,27.3945
172,-25.9333,28.0167
173,-26.7167,27.1
174,-26.2366,28.3694
175,-26.2667,27.8667
176,-27.65,25.6
177,-26.1625,27.8725
178,-25.78,29.47
179,-34.0393,18.6792
180,-25.9166,28.1045
181,-28.7333,24.7667
182,-32.3333,28.15
183,-26.0858,27.7752
184,-26.2023,28.0436
185,-29.8579,31.0292
186,-29.8348,31.0001
187,-28.4667,30.15
188,-25.8713,29.2332
189,-34.0527,23.3716
190,-33.918,25.5701
191,-34.0527,23.3716
192,-33.9253,18.4239
193,-26.3167,27.8333
194,-26.1625,27.8725
195,-24.5568,31.5245
196,-25.6392,30.3366
197,-33.6789,18.9887
198,-34.0527,23.3716
199,-29.8579,31.0292
200,-29.8579,31.0292
201,-26.018,29.1621
202,-29.8579,31.0292
203,-26.0858,27.7752
204,-29.6167,30.3833
205,-29.8579,31.0292
206,-25.7194,27.316
207,-27.7688,30.8003
208,-29.0667,30.5833
209,-29.8579,31.0292
210,-25.9989,28.2269
211,-33.804,25.58
212,-33.9253,18.4239
213,-33.3042,26.5328
214,-24.8889,31.3755
215,-29.6505,31.0505
216,-27.7688,30.8003
217,-33.9833,18.5667
218,-32.7875,26.8344
219,-29.6167,30.3833
220,-25.6913,27.4933
221,-33.9253,18.4239
222,-33.918,25.5701
223,-27.9533,27.5639
224,-30.6183,27.0215
225,-33.7653,25.4022
226,-26.2023,28.0436
227,-33.918,25.5701
228,-32.8803,27.3945
229,-29.8579,31.0292
230,-22.95,30.4833
231,-33.9253,18.4239
232,-25.7648,31.0127
233,-33.9,18.6333
234,-31.5433,29.0164
235,-26.7117,27.838
236,-29.6167,30.3833
237,-25.7449,28.1878
238,-33.9253,18.4239
239,-29.8579,31.0292
240,-33.4998,26.8294
241,-29.8579,31.0292
242,-25.8556,25.6367
243,-26.2023,28.0436
244,-28.5587,29.779
245,-33.9253,18.4239
246,-33.9253,18.4239
247,-26.2023,28.0436
248,-29.8579,31.0292
249,-23.1351,30.4218
250,-33.7653,25.4022
251,-33.9253,18.4239
252,-23.0439,29.9032
253,-29.8579,31.0292
254,-26.2023,28.0436
255,-33.3042,26.5328
256,-25.9895,28.1284
257,-34.4091,19.2507
258,-31.8149,28.7618
259,-29.8579,31.0292
260,-26.1833,28.3167
261,-33.8553,25.4719
262,-26.0355,28.0655
263,-33.9253,18.4239
